checkin,checkout,nights,adults,rank,property,type,stars,score,reviews,distance_km,room,total_eur,taxes_included,free_cancellation,breakfast,url,source,fetched_at
2026-09-25,2026-09-27,2,1,1,Roma Tiberius Suite,guesthouse,,3.1,249,0.6,Ampia Camera Matrimoniale,114.76,no: city tax € 14 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/tiberius-quot-la-dolce-vita-quot-suite-rome-centric-mb.it.html?checkin=2026-09-25&checkout=2026-09-27&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:44:22.662Z
2026-09-25,2026-09-27,2,1,2,Testa Gioacchino B&B,B&B,,8.7,20,1.5,Camera Matrimoniale Basic con Bagno in Comune,163.64,no: city tax € 12 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/testa-gioacchino-b-amp-b.it.html?checkin=2026-09-25&checkout=2026-09-27&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:44:28.763Z
2026-09-25,2026-09-27,2,1,3,GH Hotel San Giusto,hotel,3,7.1,1320,0.9,Camera Singola,190.60,no: city tax € 12 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/hotelsangiustorome.it.html?checkin=2026-09-25&checkout=2026-09-27&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:44:22.662Z
2026-09-25,2026-09-27,2,1,4,Sergio Tourist Rental close Tiburtina Station,guesthouse,4T,8.5,191,0.9,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,216.36,no: city tax € 14 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/sergio-39-s-guest-house.it.html?checkin=2026-09-25&checkout=2026-09-27&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:44:22.662Z
2026-09-25,2026-09-27,2,1,5,AlbaDomus Affittacamere o GuestHouse,guesthouse,4T,7.9,360,0.3,Camera Singola,218.29,no: city tax € 12 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/beb-albadomus-roma.it.html?checkin=2026-09-25&checkout=2026-09-27&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:44:22.662Z
2026-09-25,2026-09-27,2,1,6,"Luxor 2 Jacuzzi Suites and Deluxe Rooms, Piazza Bologna Metro Direct Colosseo, Roma",guesthouse,4T,9.3,27,0.9,Monolocale Familiare,220.00,no: city tax € 12 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/luxor-2-jacuzzi-suites-and-deluxe-rooms-piazza-bologna-metro-direct-colosseo-rom.it.html?checkin=2026-09-25&checkout=2026-09-27&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:44:22.662Z
2026-09-25,2026-09-27,2,1,7,MORFEMA - Boutique Rooms,guesthouse,4T,10,1,0.8,Camera Deluxe ,220.23,no: city tax € 12 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/morfema-boutique-rooms.it.html?checkin=2026-09-25&checkout=2026-09-27&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:44:22.662Z
2026-09-25,2026-09-27,2,1,8,Magnifico Suites,guesthouse,4T,9,26,0.25,Junior Suite,230.00,no: city tax € 12 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/magnifico-suites.it.html?checkin=2026-09-25&checkout=2026-09-27&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:44:22.662Z
2026-09-26,2026-09-28,2,1,1,Testa Gioacchino B&B,B&B,,8.7,20,1.5,Camera Matrimoniale Basic con Bagno in Comune,163.64,no: city tax € 12 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/testa-gioacchino-b-amp-b.it.html?checkin=2026-09-26&checkout=2026-09-28&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:44:54.372Z
2026-09-26,2026-09-28,2,1,2,GH Hotel San Giusto,hotel,3,7.1,1320,0.9,Camera Singola,169.45,no: city tax € 12 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/hotelsangiustorome.it.html?checkin=2026-09-26&checkout=2026-09-28&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:44:48.367Z
