checkin,checkout,nights,adults,rank,property,type,stars,score,reviews,distance_km,room,total_eur,taxes_included,free_cancellation,breakfast,url,source,fetched_at
2026-11-10,2026-11-12,2,2,1,"Nènè House Roma-Farfalla, appartamento in comune",guesthouse,,6.5,4,0.9,Camera Matrimoniale con Bagno Privato,104.24,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma-farfalla.it.html?checkin=2026-11-10&checkout=2026-11-12&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:22:59.674Z
2026-11-10,2026-11-12,2,2,2,Quelli della via Gluck,B&B,,8.6,425,0.7,Camera Matrimoniale,109.20,no: city tax € 24 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/quelli-della-via-gluck.it.html?checkin=2026-11-10&checkout=2026-11-12&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:22:59.674Z
2026-11-10,2026-11-12,2,2,3,Domus Remo Room #2,guesthouse,3T,7.5,12,0.45,Camera Matrimoniale con Bagno Privato,123.60,no: city tax € 28 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/domus-remo-room.it.html?checkin=2026-11-10&checkout=2026-11-12&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:22:59.674Z
2026-11-10,2026-11-12,2,2,4,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Matrimoniale con Bagno Privato Esterno ,124.09,no: city tax € 28 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-11-10&checkout=2026-11-12&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:22:59.674Z
2026-11-10,2026-11-12,2,2,5,DOMUS REMO Room #1,guesthouse,4T,9.1,31,0.45,Camera Tripla con Bagno Privato,124.26,yes,no,no,https://www.booking.com/hotel/it/domus-remo-rooms.it.html?checkin=2026-11-10&checkout=2026-11-12&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:22:59.674Z
2026-11-10,2026-11-12,2,2,6,"BEDS&ROOMS TIBURTINA- Rooms, Camere private",guesthouse,4T,8.8,106,0.2,Camera Matrimoniale con Bagno Privato,133.27,yes,no,no,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-10&checkout=2026-11-12&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:22:59.674Z
2026-11-10,2026-11-12,2,2,7,Unique Stay Tiburtina,B&B,,8.6,121,0.7,Camera Matrimoniale con Bagno in Comune ,134.45,no: city tax € 24 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/unique-stay-tiburtina.it.html?checkin=2026-11-10&checkout=2026-11-12&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:22:59.674Z
2026-11-10,2026-11-12,2,2,8,21 Aprile Accommodation,guesthouse,4T,7.9,785,1.4,Camera Matrimoniale con Balcone,134.84,no: city tax € 24 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/21-aprile-accommodation.it.html?checkin=2026-11-10&checkout=2026-11-12&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:23:25.396Z
2026-11-12,2026-11-14,2,2,1,Juna's guest house,guesthouse,4T,8.5,339,1.1,Camera Matrimoniale con Bagno Privato,104.24,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/juna-39-s-guest-house.it.html?checkin=2026-11-12&checkout=2026-11-14&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:23:56.546Z
2026-11-12,2026-11-14,2,2,2,"Nènè House Roma-Farfalla, appartamento in comune",guesthouse,,6.5,4,0.9,Camera Matrimoniale con Bagno Privato,107.54,no: city tax € 20 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma-farfalla.it.html?checkin=2026-11-12&checkout=2026-11-14&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:23:40.468Z
2026-11-12,2026-11-14,2,2,3,Quelli della via Gluck,B&B,,8.6,425,0.7,Camera Matrimoniale,122.85,no: city tax € 24 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/quelli-della-via-gluck.it.html?checkin=2026-11-12&checkout=2026-11-14&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:23:40.468Z
2026-11-12,2026-11-14,2,2,4,B&B Anturium,B&B,4T,8.6,173,0.5,Camera Matrimoniale con Bagno Privato Esterno ,123.21,no: city tax € 24 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/b-amp-b-anturium.it.html?checkin=2026-11-12&checkout=2026-11-14&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T13:23:40.468Z
