date,price_eur,dep_time,arr_time,arr_date,duration,changes,transfer_type,dep_station,arr_station,provider,fetched_at,source_url
2026-10-06,11.99,01:30,11:30,2026-10-06,10h 0min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:48.310092Z,https://global.api.flixbus.com/search/service/v4/search
2026-10-06,11.99,10:55,21:30,2026-10-06,10h 35min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:48.310092Z,https://global.api.flixbus.com/search/service/v4/search
2026-10-06,11.99,21:30,06:50,2026-10-07,9h 20min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:48.310092Z,https://global.api.flixbus.com/search/service/v4/search
2026-10-06,37.98,16:10,05:35,2026-10-07,13h 25min,1,cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:48.310092Z,https://global.api.flixbus.com/search/service/v4/search
2026-10-10,11.99,01:30,11:30,2026-10-10,10h 0min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:50.127576Z,https://global.api.flixbus.com/search/service/v4/search
2026-10-10,11.99,10:55,21:30,2026-10-10,10h 35min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:50.127576Z,https://global.api.flixbus.com/search/service/v4/search
2026-10-10,11.99,21:30,06:50,2026-10-11,9h 20min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:50.127576Z,https://global.api.flixbus.com/search/service/v4/search
2026-10-10,34.98,16:10,05:35,2026-10-11,13h 25min,1,cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:50.127576Z,https://global.api.flixbus.com/search/service/v4/search
2026-11-10,11.99,01:30,11:30,2026-11-10,10h 0min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:51.725647Z,https://global.api.flixbus.com/search/service/v4/search
2026-11-10,11.99,10:55,21:30,2026-11-10,10h 35min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:51.725647Z,https://global.api.flixbus.com/search/service/v4/search
2026-11-10,11.99,21:30,06:50,2026-11-11,9h 20min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:51.725647Z,https://global.api.flixbus.com/search/service/v4/search
2026-11-10,38.48,16:10,05:35,2026-11-11,13h 25min,1,cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:51.725647Z,https://global.api.flixbus.com/search/service/v4/search
2026-11-14,11.99,01:30,11:30,2026-11-14,10h 0min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:53.370835Z,https://global.api.flixbus.com/search/service/v4/search
2026-11-14,11.99,10:55,21:30,2026-11-14,10h 35min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:53.370835Z,https://global.api.flixbus.com/search/service/v4/search
2026-11-14,11.99,21:30,06:50,2026-11-15,9h 20min,0,Senza cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:53.370835Z,https://global.api.flixbus.com/search/service/v4/search
2026-11-14,34.98,16:10,05:35,2026-11-15,13h 25min,1,cambio,Messina,Roma Tiburtina (Stazione degli autobus),flixbus,2026-09-07T12:52:53.370835Z,https://global.api.flixbus.com/search/service/v4/search
