route,date,train,price_recorded_eur,price_refetched_eur,offer_refetched,status_refetched,refetched_at
MessinaC-RomaTer,2026-10-10,Ferry M7 + IC 95070,21.9,21.9,Super Economy (2ª CLASSE EASY),SALEABLE,2026-09-07T13:14:59.450666Z
RomaTer-MessinaC,2026-10-12,IC 561 + Ferry V16,21.9,21.9,Super Economy (2ª CLASSE EASY),SALEABLE,2026-09-07T13:15:03.354126Z
MessinaC-RomaTer,2026-10-22,Ferry M3 + IC 552,21.9,21.9,Super Economy (2ª CLASSE EASY),SALEABLE,2026-09-07T13:15:07.149285Z
RomaTer-MessinaC,2026-10-24,IC 561 + Ferry V16,21.9,21.9,Super Economy (2ª CLASSE EASY),SALEABLE,2026-09-07T13:15:10.777979Z
MessinaC-RomaTer,2026-10-24,Ferry M3 + IC 552,21.9,21.9,Super Economy (2ª CLASSE EASY),SALEABLE,2026-09-07T13:15:14.273996Z
RomaTer-MessinaC,2026-10-26,IC 561 + Ferry V16,21.9,21.9,Super Economy (2ª CLASSE EASY),SALEABLE,2026-09-07T13:15:17.555309Z
MessinaC-RomaTer,2026-10-27,Ferry M3 + IC 552,21.9,21.9,Super Economy (2ª CLASSE EASY),SALEABLE,2026-09-07T13:15:20.816619Z
RomaTer-MessinaC,2026-10-29,IC 561 + Ferry V16,21.9,21.9,Super Economy (2ª CLASSE EASY),SALEABLE,2026-09-07T13:15:25.147069Z
MessinaC-RomaTer,2026-10-29,Ferry M3 + IC 552,21.9,21.9,Super Economy (2ª CLASSE EASY),SALEABLE,2026-09-07T13:15:30.316707Z
RomaTib-MessinaC,2026-10-31,IC 1589 + Ferry V16,21.9,21.9,Super Economy (2ª CLASSE EASY),SALEABLE,2026-09-07T13:15:33.685543Z
